"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"ENSG00000144749.13",0.550191709598611,4.95902285650144,7.46975710329949,2.6740089508884e-13,8.81266149648413e-13,18.3638265121633,"NOT"
"ENSG00000100568.10",-0.377625245205979,6.44375216115517,-7.48577054724046,2.39084302914238e-13,7.90186961066473e-13,18.3528898995854,"NOT"
"ENSG00000168843.13",-1.5116295154101,-5.28274705616199,-7.36720535127444,5.45112667802012e-13,1.76524547394325e-12,18.3497530543382,"NOT"
"ENSG00000233121.1",-0.9265953242574,-4.86151709791109,-7.36685792589265,5.46422195147368e-13,1.7690913791581e-12,18.34833251644,"NOT"
"ENSG00000213561.4",1.1994191819114,-2.24099507797,7.36532689235114,5.52229996374281e-13,1.78749588990337e-12,18.3411947706025,"NOT"
"ENSG00000034713.7",-0.350451689469897,6.18879953071521,-7.48143260676522,2.46449513474055e-13,8.1360294911106e-13,18.3317482863352,"NOT"
"ENSG00000244563.1",1.28644106393241,-1.01003056223033,7.36700062381693,5.45883959140416e-13,1.76754595203598e-12,18.3198713865959,"NOT"
"ENSG00000269938.1",0.919092095426461,-3.78539239865684,7.36145662705654,5.67183659557198e-13,1.83446687303852e-12,18.3079408675301,"NOT"
"ENSG00000278095.1",1.19452219176383,-4.58939043603421,7.36430381145669,5.56144753013354e-13,1.79976602254573e-12,18.307476589447,"NOT"
"ENSG00000108387.14",0.843900586552617,4.69080756402114,7.45546449471598,2.95447230530332e-13,9.71219261670302e-13,18.3064709512871,"NOT"
"ENSG00000267282.1",0.932964516347139,-4.24855039773499,7.36169530353936,5.66250058905754e-13,1.83165139415352e-12,18.3005154374276,"NOT"
"ENSG00000189325.6",-1.59873892836807,-4.5438916032081,-7.35827588079693,5.7977093470661e-13,1.87392554341418e-12,18.2963341321539,"NOT"
"ENSG00000248583.1",1.44920961620091,-4.28765520993313,7.3623150536617,5.63832916416557e-13,1.82403593390443e-12,18.2960311152285,"NOT"
"ENSG00000235412.1",-1.82050396874501,-5.11781343584354,-7.35796637314454,5.8101033685002e-13,1.87751336306745e-12,18.2914809464052,"NOT"
"ENSG00000226906.1",-1.82050396874501,-5.11781343584354,-7.35796637314454,5.8101033685002e-13,1.87751336306745e-12,18.2914809464052,"NOT"
"ENSG00000174928.15",-0.541437189268751,2.20768307937543,-7.42261159244331,3.71359651239832e-13,1.21409257459294e-12,18.2909858131363,"NOT"
"ENSG00000278053.4",-0.316418191890214,4.54358962591701,-7.46156871689703,2.83131270064602e-13,9.31838656721292e-13,18.2885847565667,"NOT"
"ENSG00000166153.16",-0.694163318642947,-1.20892910466072,-7.37143234002069,5.29425423544991e-13,1.7157852744968e-12,18.2852979257976,"NOT"
"ENSG00000076554.15",-0.577972210047141,5.72383716525121,-7.47279352461497,2.61789168115162e-13,8.63261827373616e-13,18.2840733275516,"NOT"
"ENSG00000197562.9",0.572229559370058,4.81259897533707,7.45608856162326,2.94164282289325e-13,9.67272945898681e-13,18.2794994327735,"NOT"
"ENSG00000262292.2",1.27961472314738,-1.73078244914308,7.35689776862777,5.85309564635114e-13,1.89098509723221e-12,18.2762578350668,"NOT"
"ENSG00000153922.10",0.429693300410693,5.247755278089,7.46175523664445,2.82763014901993e-13,9.3073219636316e-13,18.2742129332321,"NOT"
"ENSG00000155229.20",-0.329206585802774,5.39220312548644,-7.46695674875587,2.72681229858492e-13,8.98158499392049e-13,18.2667658187793,"NOT"
"ENSG00000176142.12",0.354321465839018,4.36516583108819,7.44923029207978,3.08569633384991e-13,1.0131485983031e-12,18.2662440710733,"NOT"
"ENSG00000154640.14",-0.656085429718777,3.82866119281984,-7.45044969008172,3.05958562609524e-13,1.00480281508728e-12,18.2597345691969,"NOT"
"ENSG00000134222.16",0.569399875150836,1.36372211751536,7.38961922057629,4.66847334987401e-13,1.51908563879028e-12,18.2545674476385,"NOT"
"ENSG00000224959.1",1.11589981739763,-4.30104381055783,7.35482285068812,5.93747007423819e-13,1.91760397134487e-12,18.2500214380187,"NOT"
"ENSG00000110200.8",-0.432121894420674,3.95907331502756,-7.44736773249062,3.12600292430736e-13,1.02603454572002e-12,18.2383824537769,"NOT"
"ENSG00000186187.11",-0.39316497441592,3.63191096674283,-7.44028879646297,3.28397784657864e-13,1.07642526252902e-12,18.2262018076423,"NOT"
"ENSG00000156689.6",1.42169088926452,-0.738932087189524,7.3543146330909,5.95831803002291e-13,1.92390900902675e-12,18.2257722315493,"NOT"
"ENSG00000235903.7",-0.999128830019469,-3.46753983231105,-7.34844053265577,6.20457436797104e-13,2.00186495142685e-12,18.2256772826493,"NOT"
"ENSG00000233028.1",-1.06288452915464,-5.51246757114751,-7.34979792183362,6.14679445298166e-13,1.9841048598509e-12,18.2227313006424,"NOT"
"ENSG00000272031.2",0.577154393116406,-0.220026595242066,7.36284901348451,5.61758517177125e-13,1.81752769602787e-12,18.2158535681193,"NOT"
"ENSG00000228801.5",-0.530739757522303,0.545941811676259,-7.38006588414817,4.9875221884155e-13,1.61963338016066e-12,18.2014503898242,"NOT"
"ENSG00000070269.13",-0.341510679255205,4.04705734029946,-7.44157143963541,3.25478251217304e-13,1.06721715336447e-12,18.1981844366942,"NOT"
"ENSG00000221968.8",0.731323763958665,4.5392598398333,7.43777413362452,3.34196638563402e-13,1.09506180111794e-12,18.189174087949,"NOT"
"ENSG00000242324.1",0.940622302323432,-5.66509285340656,7.34920737516077,6.17186686215614e-13,1.99197637800603e-12,18.1873312283115,"NOT"
"ENSG00000102078.15",0.318467145560262,2.41387189669208,7.40062599812069,4.32573406446153e-13,1.40914064221095e-12,18.1850843126659,"NOT"
"ENSG00000182175.13",-0.861057002518643,1.03475119560266,-7.39002946283483,4.6552321173217e-13,1.51494687975404e-12,18.182574075305,"NOT"
"ENSG00000197903.7",1.18265525266251,2.43682540107293,7.38789549449489,4.72451565915541e-13,1.53697676537756e-12,18.1788379315153,"NOT"
"ENSG00000253330.1",-0.877966713244054,-2.02062238162112,-7.34893864567272,6.18330940457111e-13,1.99544758136176e-12,18.1750245431519,"NOT"
"ENSG00000254281.1",-0.983050433529098,-5.01741262972816,-7.34138917633787,6.51343744404055e-13,2.09965039774852e-12,18.1739981399576,"NOT"
